map,agents,seed,scen,baseline_method,contender_method,baseline_success,contender_success,baseline_ratio,contender_ratio,delta_ratio,contender_better
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.23311156602,1.23311156602,0.0,False
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.23311156602,1.23311156602,0.0,False
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.23311156602,1.23311156602,0.0,False
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.23311156602,1.23311156602,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,always_additive_defer,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.13415710503,1.15269196823,0.018534863200000196,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.10966542751,1.10408921933,-0.005576208179999931,True
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,always_additive_defer,True,True,1.13976377953,1.13976377953,0.0,False
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,lacam_star,True,True,1.13976377953,1.13188976378,-0.007874015749999907,True
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.13976377953,1.11417322835,-0.025590551179999865,True
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.13976377953,1.12795275591,-0.011811023619999972,True
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.13976377953,1.13976377953,0.0,False
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.13976377953,1.11417322835,-0.025590551179999865,True
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.13976377953,1.13976377953,0.0,False
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.13976377953,1.13976377953,0.0,False
random-32-32-20,50,4,random-32-32-20-random-4.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.13976377953,1.13976377953,0.0,False
random-32-32-20,50,5,random-32-32-20-random-5.scen,lacam_star_ltm,always_additive_defer,True,True,1.15228873239,1.15228873239,0.0,False
random-32-32-20,50,5,random-32-32-20-random-5.scen,lacam_star_ltm,lacam_star,True,True,1.15228873239,1.10915492958,-0.0431338028099999,True
random-32-32-20,50,5,random-32-32-20-random-5.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.15228873239,1.15228873239,0.0,False
random-32-32-20,50,5,random-32-32-20-random-5.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.15228873239,1.15228873239,0.0,False
random-32-32-20,50,5,random-32-32-20-random-5.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.15228873239,1.15228873239,0.0,False
random-32-32-20,50,5,random-32-32-20-random-5.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.15228873239,1.15228873239,0.0,False
random-32-32-20,50,5,random-32-32-20-random-5.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.15228873239,1.15228873239,0.0,False
