candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,bootstrap_ci_upper,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,shortlist_ready,not_ready_reason,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02521,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00735296634695,-0.00626359363872,1084,599,140,200,1,True,True,True,False,materialization_gate_not_met,2.05744727725,1.25,1.30093634781,1.25,0.75,0.75,1.0299538862,1.00344213366,0.987532791908,1,0.985528585529,0.984367031266,0.370921930922,0.782818907819,0.955477780478,11.1446428571,1,0,0,False,False,False,False,False
g554_c02634,stage2,,2081,2081,0,1,-0.998558385392,2078,-0.00732683653495,-0.00632074627638,1141,588,140,200,1,True,True,True,False,materialization_gate_not_met,0.300159651739,1.25,1.27202789703,1.25,0.75,0.75,1.01350212288,0.00883144633145,0.968396519022,1,0.975638513139,0,0.364722979723,0.774795423233,1,11.0796160859,1,0,0,False,False,False,False,False
g554_c02546,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.0071873590478,-0.0061853397239,1108,574,140,200,1,True,True,True,False,materialization_gate_not_met,0.841087381698,1.25,1.23138535639,1.25,0.75,0.75,1.03909350784,0.0449667637168,0.90271535334,1,1.04851331101,0,0.375533025533,0.792501651877,0.955694680695,10.5287648913,1,0,0,False,False,False,False,False
g554_c00034,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00713832300157,-0.00608222905984,1128,596,140,200,1,True,True,True,False,materialization_gate_not_met,1.19143660627,1.25,1.20503562691,1.25,0.75,0.75,1.02950051075,0.330079183204,0.918344377094,1,0.969320881821,0.35,0.331808551809,0.77727513665,0.923932698129,10.4192656609,1,0,0,False,False,False,False,False
g554_c01005,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00701106998622,-0.00602474192052,1131,574,140,200,1,True,True,True,False,materialization_gate_not_met,0.18,1.25,1.15,1.25,0.75,0.75,1,0,0.95,1,0.9,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01003,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.00697424623766,-0.00590858112786,1089,605,140,200,1,True,True,True,False,materialization_gate_not_met,0.963451787554,1.25,1.20465733591,1.25,0.75,0.75,1.03281537382,0.0699689006711,0.981717499317,1,1.02177678906,0.2275,0.310738192738,0.807623386373,0.829828431893,11.1465431146,1,0,0,False,False,False,False,False
g554_c00997,stage2,,2081,2081,0,1,-0.998558385392,2078,-0.00696880429381,-0.00595311413845,1087,615,140,200,1,True,True,True,False,materialization_gate_not_met,1.0659502881,1.25,1.25,1.25,0.75,0.75,1,0.563741922516,0.95,1,0.917418445163,0.798562792872,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01034,stage2,,2081,2081,0,1,-0.998558385392,2078,-0.00693823752404,-0.00592593089085,1076,616,140,200,1,True,True,True,False,materialization_gate_not_met,1.08097236053,1.25,1.29720753158,1.25,0.75,0.75,0.953525191025,0.288757938758,0.909204453579,1,1.00185600915,0.272302255395,0.381894531895,0.771010567886,0.954524117024,10.7097626473,1,0,0,False,False,False,False,False
g554_c02558,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.00648092614897,-0.00438305859344,1082,815,140,200,1,True,True,True,False,materialization_gate_not_met,1.61404843441,1.25,1.26654264654,1.25,0.75,0.75,1.07229460629,0.694191529194,0.980657794158,1,0.970723723724,0.220060569879,0.513912790566,1.00150625203,0.981846144846,10.6623908194,1,0,0,False,False,False,False,False
g554_c02523,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00628589229812,-0.00517190405839,1076,658,140,200,1,True,True,True,False,materialization_gate_not_met,1.3154550453,1.25,0.999298950694,1.25,0.75,0.75,1.06583701884,0.586884969385,0.966774626575,1,1.02219262871,0.286537301926,0.329146897547,0.796486486487,0.978781911782,11.515939082,1,0,0,False,False,False,False,False
