candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g59_commit_heavy_flow_guard,commit_heavy,random,2000,50,6,10,10,32,0,2,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,random,500,44,3,0,2,37,0,2,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,warehouse,2000,20,1,0,3,10,0,6,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,maze,1000,101,0,0,0,101,0,0,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,maze,2000,100,0,28,30,70,0,0,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,maze,500,100,0,0,0,50,0,50,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,random,1000,120,9,0,0,99,1,11,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,random,2000,122,6,16,20,83,1,12,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,random,500,100,5,0,6,84,0,5,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,warehouse,1000,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,warehouse,2000,22,0,0,3,13,0,6,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,maze,1000,101,0,0,0,101,0,0,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,maze,2000,99,1,21,28,70,0,0,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,maze,500,100,0,0,0,50,0,50,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,random,1000,119,10,0,0,99,1,9,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,random,2000,119,7,19,21,80,1,10,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,random,500,100,5,0,9,84,0,2,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,warehouse,1000,36,0,0,0,0,0,36,0,0,False,False,False,False,False
