agents,map,scen,seed,selector_better_than_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_selected_source_method,selector_worse_than_static,static_delta_ratio_vs_ltm
100,random-32-32-20,random-32-32-20-random-130.scen,130,False,-0.008041627239999904,0.008041627250000127,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.016083254490000032
100,random-32-32-20,random-32-32-20-random-131.scen,131,True,-0.03586019064000001,-0.023604176119999876,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.012256014520000136
100,random-32-32-20,random-32-32-20-random-132.scen,132,False,-0.06225680934,0.023778642459999944,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.08603545179999994
100,random-32-32-20,random-32-32-20-random-133.scen,133,True,-0.09028727769999989,-0.015047879609999981,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.07523939808999991
100,random-32-32-20,random-32-32-20-random-134.scen,134,True,-0.03624535315999999,-0.005111524159999936,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.031133829000000057
100,random-32-32-20,random-32-32-20-random-135.scen,135,False,-0.021903959559999908,0.005897219880000026,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.027801179439999935
100,random-32-32-20,random-32-32-20-random-136.scen,136,True,-0.07776376628000015,-0.02017654475999997,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.057587221520000176
100,random-32-32-20,random-32-32-20-random-137.scen,137,True,-0.05295138888999995,-0.017361111109999827,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.035590277780000124
100,random-32-32-20,random-32-32-20-random-138.scen,138,True,-0.07920372723999991,-0.02414231257999999,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.05506141465999992
100,random-32-32-20,random-32-32-20-random-139.scen,139,False,-0.09090909090999988,0.023674242430000048,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.11458333333999993
100,random-32-32-20,random-32-32-20-random-140.scen,140,True,-0.12654179991000003,-0.031064412980000178,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.09547738692999985
100,random-32-32-20,random-32-32-20-random-141.scen,141,True,-0.06077348065999999,-0.015653775319999896,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.045119705340000094
100,random-32-32-20,random-32-32-20-random-142.scen,142,False,0.0020559210499999647,0.02796052631000001,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.025904605260000046
100,random-32-32-20,random-32-32-20-random-143.scen,143,False,-0.02914614121999981,0.04597701149,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.07512315270999981
100,random-32-32-20,random-32-32-20-random-144.scen,144,False,-0.03438914027000006,0.004977375569999998,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.03936651584000006
100,random-32-32-20,random-32-32-20-random-145.scen,145,True,-0.07474662162000012,-0.02449324325000002,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.0502533783700001
100,random-32-32-20,random-32-32-20-random-146.scen,146,False,-0.07270168856000003,0.0014071294499999887,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.07410881801000002
100,random-32-32-20,random-32-32-20-random-147.scen,147,True,-0.021933751119999956,-0.009847806630000067,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.012085944489999889
100,random-32-32-20,random-32-32-20-random-148.scen,148,False,-0.08146453088999994,0.04118993135000015,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.1226544622400001
100,random-32-32-20,random-32-32-20-random-149.scen,149,True,-0.10536130536999999,-0.019114219119999998,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.08624708625
100,random-32-32-20,random-32-32-20-random-150.scen,150,False,0.012380191689999931,0.007987220439999998,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,0.004392971249999933
