agents,c_equiv_delta_ratio_vs_ltm,classification,flow_shield_hurts_c_equiv_safe,joint_ltm_classification,map,seed,selector_avoids_harm_vs_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_missed_gain_vs_static,selector_source_method,static_delta_ratio_vs_ltm
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,65,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,46,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,47,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,48,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,49,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,50,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,51,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,52,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,53,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,54,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,55,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,56,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,57,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,58,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,59,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,60,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,61,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,62,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,63,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,64,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
100,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,65,False,0.0,0.0,False,repair5g_dual_c_equiv_additive,0.0
