pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,support_rows_existing,success_regression_count_existing,quality_delta_existing,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_strata_existing
g554_pool_291539377287,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000427_t035,0.546361314777,1.24912594925,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,shrinkage_to_hand_from_risky,30,0,-0.031486186824,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.152926524147,0.444728080544,0.807500247499,1,11,1,0,0,False,False,False,False,False,
g554_pool_125248959001,g553_zero_regression_low_support,repair5g549_theta_549000427,1.56103232794,0.845121759757,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,g553_zero_regression_low_support,30,0,-0.031486186824,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.436932926134,0.620651658697,0.914286421427,1,11,1,0,0,False,False,False,False,False,4
g554_pool_172555782985,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001990_t035,0.770611343772,1.1972490705,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,28,0,-0.031444285131,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,0.941801066398,0.360021704955,0.35,0.75,1,10.2304082392,1,0,0,False,False,False,False,False,
g554_pool_640216965775,g553_high_quality_nearmiss,repair5g549_theta_549001990,2.7017466965,1.23508002984,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.031444285131,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.833717332565,1.02863344273,0.35,0.75,1,8.80116639767,0,0,1,False,False,False,False,False,4
g554_pool_147956125778,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549002027_t035,0.490942507281,1.09594888394,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,shrinkage_to_hand_from_risky,28,0,-0.0313268092227,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.226245217509,0.357104355791,0.81403989692,1,11,1,0,0,False,False,False,False,False,
g554_pool_129737819226,g553_high_quality_nearmiss,repair5g549_theta_549002027,1.40269287795,0.407473001721,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,g553_high_quality_nearmiss,28,0,-0.0313268092227,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.64641490717,0.370298159404,0.932971134058,1,11,1,0,0,False,False,False,False,False,4
g554_pool_462312853956,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001545_t035,0.491236127528,0.975430539139,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.0312877035129,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.316854191292,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_487834409517,g553_high_quality_nearmiss,repair5g549_theta_549001545,1.90353179294,0.56313487373,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.0312877035129,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.905297689405,0.35,0.75,1,11,0,0,1,False,False,False,False,False,4
g554_pool_939974330367,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001150_t035,0.764242756514,1.39664017172,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,29,0,-0.031249945859,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,0.905044139912,0.205701938596,0.35,0.75,1,9.99139091722,1,0,0,False,False,False,False,False,
g554_pool_544910399199,g553_zero_regression_low_support,repair5g549_theta_549001150,2.6835507329,1.76659096682,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_zero_regression_low_support,29,0,-0.031249945859,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.728697542605,0.58771982456,0.35,0.75,1,8.11825976348,0,0,1,False,False,False,False,False,4
g554_pool_929853167658,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000755_t035,0.521206567588,0.945460099079,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,30,0,-0.03121898112,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.361809851382,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_973548812499,g553_zero_regression_low_support,repair5g549_theta_549000755,1.98916162168,0.522494955013,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_agent_progress,True,False,g553_zero_regression_low_support,30,0,-0.03121898112,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.03374243252,0.35,0.75,1,11,0,1,0,False,False,False,False,False,4
