pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_rows_existing,success_regression_count_existing,quality_delta_existing,support_strata_existing
g554_pool_640338665849,g553_zero_regression_low_support,repair5g549_theta_549000775,1.57759644481,0.11092977814,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.16639466721,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00236675826818,4
g554_pool_424740296372,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000775_t035,0.552158755683,0.914507910984,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.408238133524,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00236675826818,
g554_pool_439792453372,g553_zero_regression_low_support,repair5g549_theta_549000764,2.01978106044,0.553114393771,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.966621316757,8.96556206888,1,0,0,False,False,False,False,False,29,0,0.00236675826818,4
g554_pool_718386140572,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000764_t035,0.706923371155,1.14692337116,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.988317460865,10.2879467241,1,0,0,False,False,False,False,False,29,0,0.00236675826818,
g554_pool_694504410301,g553_zero_regression_low_support,repair5g549_theta_549000774,2.55049099902,1.08382433235,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.469182561635,9.49572900854,1,0,0,False,False,False,False,False,29,0,0.00236675826818,4
g554_pool_974834309349,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000774_t035,0.892671849654,1.33267184965,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.814213896572,10.473505153,1,0,0,False,False,False,False,False,29,0,0.00236675826818,
g554_pool_726683299946,g553_zero_regression_low_support,repair5g549_theta_549001033,0.716134567731,0.750532098936,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,0.72853479293,0.95,1,1,0.19996010008,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00263199701739,4
g554_pool_238582334453,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001033_t035,0.250647098705,1.21601956796,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.254987177525,0.95,1,1,0.069986035028,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00263199701739,
g554_pool_886193102549,g553_zero_regression_low_support,repair5g549_theta_549000818,1.86512670975,1.12542050916,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_min_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,0.545649708701,0.95,1,1.12623094754,1,0.35,0.75,0.523218003564,11,1,0,0,False,False,False,False,False,29,0,0.002708961868,4
g554_pool_721117156785,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000818_t035,0.652794348413,1.34723051154,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_min_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.190977398045,0.95,1,1.04418083164,0.35,0.35,0.75,0.833126301247,11,1,0,0,False,False,False,False,False,29,0,0.002708961868,
