row_type,g567_evaluation_uid,context_id,map,map_family,agents,target_candidate_count,mean_L1_target_distance_to_g556,mean_L1_target_distance_to_static_flow,mean_L1_actor_prediction_distance_to_g556,mean_L1_actor_prediction_distance_to_static_flow
label_train_target_set,a4b4278995bdd115b4aa78cb305792e2a1d9af25ac0d6ff45c038283ac0d2809,g567_gate3b_calibration_00186,empty_32_32,empty,32,1.0,0.0017769531408945835,0.08950190643469497,,
label_train_target_set,a4c07dc0ebc89ce33de58bbc67b1aa9e21e873348f331d260b415ce4d9f07aea,g567_gate3b_label_train_00138,den312d,game,32,2.0,0.007393114718179853,0.09163397545852361,,
label_train_target_set,a4ee5e68239b36fc621e0be3c761fd22ba943bff6185ad95c0e3080f353a5cf5,g567_gate3b_label_train_00511,room_64_64_8,room,192,1.0,0.022754212698293037,0.06869133619562039,,
label_train_target_set,a4f803cde29efd21d7c75ca0ec41a41020656b4fea50e746bf3b79b59e333957,g567_gate3b_label_train_00555,room_64_64_8,room,2000,21.0,0.010840422163970184,0.08560316810825068,,
label_train_target_set,a4fc9054964783c5092b52d6a474c87e6d37d5f4b7fef76b13fabb2d9ca00071,g567_gate3b_label_train_00672,g567-large-room-128x128-a-v0,large_room,3000,1.0,0.003628144264221203,0.08888880113760635,,
label_train_target_set,a509b01f32fa023c66cb23ff52eb2a186fe9da2b3a4551d5b351a70e14cd31af,g567_gate3b_calibration_00128,empty_16_16,empty,32,1.0,0.0018277035819159733,0.09192192163732321,,
label_train_target_set,a5175ae1e86471452191c7e0e3a6f0265d49f255c0db4386db7adc2f40659fcb,g567_gate3b_label_train_00806,g567-large-empty-128x128-a-v1,large_empty,64,1.0,0.04521686674583519,0.04580371679294688,,
label_train_target_set,a52f2a177fbdeadd4df40b89dd5fcfb7bcbdbe0093ee45866e56c2b870648f4f,g567_gate3b_label_train_01385,maze_128_128_2,maze,192,1.0,0.005475937014534356,0.09120432385376524,,
label_train_target_set,a531b0e2504357073efd4223db00257d252e7948e0c23585e5d887645ae7efcf,g567_gate3b_label_train_00144,den312d,game,32,1.0,0.005485429962476101,0.08950789968172713,,
label_train_target_set,a565f8b4cc41db0417f1b1ba76aff8b005e89729cd7c3af0a4ce151be96998c6,g567_gate3b_label_train_00470,room_64_64_8,room,32,2.0,0.028137406200643575,0.06968905159878355,,
label_train_target_set,a575269f7b84dfdebf4d8da23982289ee86704342527f32c97897ad3352891c6,g567_gate3b_label_train_01987,g567-large-maze-128x128-a-v3,large_maze,3000,21.0,0.010958596369982317,0.08575809940436711,,
label_train_target_set,a581b8574cd5888b957d73d262bf6f9230ce83431369370cf1644fe691d60129,g567_gate3b_calibration_00357,maze_128_128_1,maze,2000,21.0,0.01090548453620234,0.08572474522047305,,
label_train_target_set,a599a69cb365e4207e5ebc0d30ae6213e84f0630bfc3734b5eec32026a58b44a,g567_gate3b_label_train_01183,g567-random-16x16-a-v0,random,24,1.0,0.00577770154154483,0.09141078432874071,,
label_train_target_set,a5c95fa670e3c950b7f8c1c283fe8eb7f813f0d7f3b67e2100f1921bd34aa49d,g567_gate3b_label_train_01932,g567-large-maze-128x128-a-v3,large_maze,2500,21.0,0.010958403254762706,0.08575822585519303,,
label_train_target_set,a5caf76f46e445f1a765e416320db7a241e6d968c2fb91b646b450bc338d50a6,g567_gate3b_label_train_01468,g567-large-maze-192x128-a-v0,large_maze,1500,21.0,0.010961563100845464,0.08576122132175726,,
label_train_target_set,a6403a4ae6c038a8e5183b074b41fbaafd99c19bdea1e91e36b0962dc94e67b1,g567_gate3b_label_train_01215,room_64_64_16,room,12,1.0,0.001794310410817476,0.09188852846622471,,
label_train_target_set,a685dad05dc195ba8f8557f9835e607841569fb2caef5ecaa6bdb636d992184f,g567_gate3b_label_train_01009,g567-large-empty-128x128-a-v3,large_empty,3000,21.0,0.010826328593902458,0.085584419935784,,
label_train_target_set,a6ab2ba2b8d77f1976a40187b7e75a7f61025cb77c3a6393f8ae506667221950,g567_gate3b_calibration_00040,ht_chantry,game,128,2.0,0.014524722260142113,0.10245252565732083,,
label_train_target_set,a6cad736cceb51152b4bc2c7c54ca216b919ac506281f72c1de7a5cda62bc3fe,g567_gate3b_calibration_00164,empty_16_16,empty,80,2.0,0.007356793615553104,0.09159850034448838,,
label_train_target_set,a6ce6c2951a6a02ca916c6c8c6193857dcee24ecebbb5c00dcd4c4aa62eb541a,g567_gate3b_label_train_01708,g567-room-64x48-b-v1,room,384,1.0,0.0011514160368177742,0.091245634092225,,
label_train_target_set,a6ed802b0c858b93aa32db25b81ab07651b0cac58e5518bbea4db845212e6d36,g567_gate3b_label_train_01577,sortation_medium,public_other,24,1.0,0.06757051191632714,0.02292043919601138,,
label_train_target_set,a6f99ea1eaca8a6775d90f4937404cd46e3976716c34311dcd78c4293983213c,g567_gate3b_label_train_00160,den312d,game,80,1.0,0.028127348177016714,0.11450278674799301,,
label_train_target_set,a73c1e5af5d19c63a742254834614c5d9ea3dbf213a4cce07b4558cbac580ebe,g567_gate3b_label_train_01296,room_64_64_16,room,192,1.0,0.028040717471213623,0.11441402616955001,,
label_train_target_set,a765a1423ca03f35777bf78182f8a14ccc25ff4d4d35b2f8692bf7f4705c8995,g567_gate3b_label_train_00899,g567-large-empty-128x128-a-v3,large_empty,2000,1.0,0.06766385326782862,0.022872912122143672,,
label_train_target_set,a7932e92b1e6e064f628673d4ff1e9de840760eb21aa1bb76568c16ebb91b5de,g567_gate3b_calibration_00449,g567-large-lanes-192x128-a-v2,large_lanes,2500,3.0,0.0007614559597439109,0.09085567401515114,,
label_train_target_set,a7bcc23b4466ebae327175d8dca179853c7814194f4cd801f736aa2bb33a7a1c,g567_gate3b_label_train_00207,random_32_32_10,random,12,21.0,0.010868646535833762,0.08565446689826295,,
label_train_target_set,a7c0557e944d2c711e96c7407b0258a2dc30cd6fef849d8d5fd9b7414f73b5b2,g567_gate3b_label_train_00648,g567-large-room-128x128-a-v2,large_room,2000,1.0,0.02797362259929131,0.11435570510133863,,
label_train_target_set,a7cf0bdbbd99e6599fbf19c0e276deeea2033bcdb030ce603c2ea3d6c0e57b16,g567_gate3b_label_train_01768,g567-room-64x48-b-v0,room,1500,1.0,0.00542749742666881,0.0894885909557343,,
label_train_target_set,a7ebf5662b17d5a8a5121eacbcbd3bd0ce404350c48d554b802dfa186a1d9019,g567_gate3b_label_train_00845,g567-large-empty-128x128-a-v2,large_empty,1000,1.0,1.1842378929335004e-17,0.09009421805540724,,
label_train_target_set,a7ee0bd1dd3a4e208ce329879d2ab8537c96d4d7495a7739396c8daa66640ee5,g567_gate3b_label_train_01908,g567-large-maze-128x128-a-v2,large_maze,1000,1.0,0.06763868162083249,0.02288695026484749,,
label_train_target_set,a8501f16b37ff99e6542fe583bdb5bd3b358816c36c56c6585d7b0d74b550405,g567_gate3b_label_train_00247,random_32_32_10,random,64,1.0,0.0036816453744494384,0.09085953770175818,,
