row_type,policy,model,eval_scope,fold_id,context_budget_pairs,selected_policy_utility,safe_policy_sim_utility,candidate_induced_no_solution_count,budget_sensitive_failure_count,safe_positive_selected_count,static_recovery_capture_count,fallback_rate,top1_safe_oracle_capture_rate,top3_safe_oracle_capture_rate,top5_safe_oracle_capture_rate,region_top1_capture_rate,region_top2_capture_rate,action_class_accuracy,selected_candidate_match_rate,region_match_rate,avoidable_risk_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_055,120,0.032740288706,0.032740288706,8,2,6,0,0.0,0.0,0.125,0.175,0.0,0.366666666667,0.391666666667,0.083333333333,0.1,0.511148916501,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_056,120,0.042882736068,0.042882736068,4,4,1,0,0.0,0.0,0.05,0.066666666667,0.0,0.191666666667,0.4,0.083333333333,0.1,0.543647725164,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_057,120,0.044824355055,0.044824355055,9,5,7,0,0.0,0.0,0.1,0.125,0.0,0.3,0.5,0.083333333333,0.083333333333,0.503561447547,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_058,120,0.052001395786,0.052001395786,7,4,5,0,0.0,0.0,0.075,0.1,0.0,0.308333333333,0.383333333333,0.083333333333,0.1,0.519457965512,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_059,120,0.041020313976,0.041020313976,11,4,2,0,0.0,0.0,0.075,0.116666666667,0.0,0.341666666667,0.416666666667,0.066666666667,0.083333333333,0.485616065163,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_060,120,0.039949684613,0.039949684613,8,0,5,0,0.0,0.0,0.125,0.175,0.0,0.433333333333,0.366666666667,0.041666666667,0.041666666667,0.512148798091,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_061,120,0.042775585778,0.042775585778,6,5,5,0,0.0,0.0,0.15,0.191666666667,0.0,0.425,0.366666666667,0.058333333333,0.083333333333,0.527205280904,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_062,120,0.03874183244,0.03874183244,6,3,4,0,0.0,0.0,0.1,0.166666666667,0.0,0.383333333333,0.4,0.083333333333,0.108333333333,0.527060567545,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_063,120,0.040050176072,0.040050176072,10,4,7,0,0.0,0.0,0.175,0.2,0.0,0.45,0.425,0.075,0.083333333333,0.494897756285,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_064,120,0.033549839739,0.033549839739,12,5,9,0,0.0,0.0,0.1,0.125,0.0,0.341666666667,0.325,0.025,0.025,0.47934413452,False,False,False,False,False
