candidate_id,candidate_family,candidate_context_rows,safe_materialized_rows,success_regression_count_vs_g556_c063174,success_gain_count_vs_g556_c063174,both_success_quality_pairs_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,bootstrap_ci_upper,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,support_topologies,support_contexts,candidate_recognized_all,fingerprint_match_all,cost_finite_all,theta_in_bounds_all,safe_label_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_gcst_00041,,12000,11956,44,118,6122,-2.7685668017e-05,0.00189347205623,1641,1688,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00172,,12000,11956,44,119,6122,0.000647540940838,0.00255114492721,2443,2057,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00326,,12000,11956,44,127,6122,0.000900915154165,0.00262262674713,1912,2321,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00260,,12000,11956,44,113,6122,0.00152157969472,0.00346514502362,1742,2919,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00188,,12000,11956,44,132,6122,0.0016568092789,0.00353607872336,2585,2112,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00216,,12000,11956,44,120,6122,0.0025547460631,0.00448711566478,1747,2856,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00466,,12000,11956,44,120,6122,0.00296764977478,0.00519909985153,1866,2634,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00338,,12000,11956,44,118,6122,0.00308041587203,0.00565262454589,1918,2690,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00096,,12000,11956,44,120,6122,0.00446015339025,0.00638726368806,1543,3267,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00145,,12000,11956,44,122,6122,0.00515311153992,0.00897221543047,1711,3046,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00385,,12000,11956,44,129,6122,0.00739701930269,0.0092776042444,1544,3432,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00294,,12000,11956,44,115,6122,0.0136991283953,0.0159727567592,2364,2839,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00177,,12000,11955,45,124,6121,-0.0029272384012,-0.00101726684386,2158,2019,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00075,,12000,11955,45,115,6121,-0.00152724814435,0.000214393144349,1914,2614,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00451,,12000,11955,45,127,6121,-0.00116698605984,0.000555200834047,1763,1671,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00487,,12000,11955,45,123,6121,-0.000815657126912,0.000934557250413,2090,1993,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00301,,12000,11955,45,124,6121,-0.000688429498535,0.00107470102881,1673,1701,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00246,,12000,11955,45,129,6121,-0.000457237706822,0.00129107018959,2217,2211,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00212,,12000,11955,45,124,6121,-0.000287441073867,0.00152544704158,2517,2134,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00168,,12000,11955,45,114,6121,0.000112561380874,0.00201626224568,1809,2630,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00416,,12000,11955,45,123,6121,0.000182105660472,0.00197244211814,1835,2693,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00425,,12000,11955,45,117,6121,0.000669371284623,0.00261121359223,2007,2449,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00144,,12000,11955,45,115,6121,0.000983030489489,0.00306938620828,2242,2393,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00356,,12000,11955,45,124,6121,0.00110679002463,0.00294113461747,1912,2672,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00022,,12000,11955,45,109,6121,0.00114065585645,0.00290008679949,2165,2429,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00133,,12000,11955,45,115,6121,0.00118714731788,0.00329211714606,2400,2253,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00233,,12000,11955,45,135,6121,0.00160263631512,0.00379284363682,1986,2363,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00488,,12000,11955,45,122,6121,0.00167844255663,0.00337271586125,2444,2179,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00300,,12000,11955,45,117,6121,0.00210560833107,0.00511228147663,1879,2566,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00196,,12000,11955,45,132,6121,0.00264319069202,0.00453244640628,2474,2242,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00420,,12000,11955,45,119,6121,0.00276992869387,0.00481365885221,1598,3215,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00204,,12000,11955,45,134,6121,0.00390140700478,0.00595662609326,2535,2443,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00083,,12000,11955,45,121,6121,0.00392410528392,0.00587171530643,2458,2277,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00393,,12000,11955,45,136,6121,0.00398014911395,0.00629874550092,1764,2965,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00346,,12000,11955,45,123,6121,0.0040925514807,0.0059901143374,2632,2330,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00504,,12000,11955,45,133,6121,0.00430762557098,0.0062401434527,2631,2396,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00148,,12000,11955,45,111,6121,0.00460678632484,0.00684746509743,1541,3370,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00485,,12000,11955,45,136,6121,0.00465515918502,0.00782284949855,1806,2824,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00064,,12000,11955,45,128,6121,0.00504733574694,0.00733437496434,2017,2780,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00280,,12000,11955,45,122,6121,0.00562092211047,0.007733790319,2152,2665,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00025,,12000,11955,45,113,6121,0.00634419878694,0.00834561862962,1434,3609,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00370,,12000,11955,45,123,6121,0.00652578758349,0.0116373474214,1643,3101,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00465,,12000,11955,45,124,6121,0.0128173358892,0.0155782699192,2321,2806,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00438,,12000,11954,46,132,6120,-0.00134816214967,0.000430525037361,2110,2211,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00295,,12000,11954,46,116,6120,-0.0011898028785,0.000521183994146,2295,1991,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00341,,12000,11954,46,118,6120,-0.000814271672203,0.00102021683618,1723,1712,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00208,,12000,11954,46,126,6120,-0.000673700566227,0.00133776597469,2035,2303,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00050,,12000,11954,46,116,6120,-0.00025763558431,0.00177868659744,2392,2143,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00241,,12000,11954,46,122,6120,0.000385879152593,0.00217243399486,1581,1670,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00357,,12000,11954,46,123,6120,0.000466837843714,0.00224196644376,1741,2742,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00432,,12000,11954,46,130,6120,0.00116392812642,0.00323323455355,1970,2463,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00468,,12000,11954,46,116,6120,0.00120096619013,0.00304647362938,2548,2191,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00222,,12000,11954,46,126,6120,0.00278209112073,0.00476415790378,1833,2723,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00362,,12000,11954,46,120,6120,0.00387825052296,0.0057348447083,1630,3166,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00065,,12000,11954,46,122,6120,0.00389532021381,0.00570407342483,1659,3122,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00343,,12000,11954,46,129,6120,0.00403948016935,0.00592187625506,1710,2870,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00283,,12000,11954,46,116,6120,0.0044180488732,0.00630830943417,1667,3048,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00084,,12000,11954,46,118,6120,0.00496099532433,0.00829068803154,1825,2755,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00494,,12000,11954,46,127,6120,0.00515013568844,0.00738438874822,1555,3236,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00478,,12000,11954,46,123,6120,0.00524522425126,0.00712124608534,1696,3057,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00274,,12000,11954,46,126,6120,0.00566518433209,0.00764902439927,1539,3283,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00382,,12000,11954,46,134,6120,0.00610383752961,0.00809020522968,2601,2418,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00194,,12000,11954,46,108,6120,0.00739281254007,0.00943684108823,1428,3600,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00079,,12000,11954,46,137,6120,0.0313157574383,0.0339771009073,1935,3469,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00277,,12000,11953,47,122,6119,-0.000966381364112,0.000949164769672,2527,1885,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00101,,12000,11953,47,126,6119,-0.000960808174744,0.000820490947027,1785,1776,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00271,,12000,11953,47,116,6119,-0.000672817483027,0.00114457516385,1643,1660,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00225,,12000,11953,47,130,6119,-0.000437034730232,0.00126396818077,2545,1973,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00097,,12000,11953,47,123,6119,-0.000248474675976,0.00164786496284,2507,1926,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00057,,12000,11953,47,113,6119,-0.000190258388447,0.00171594387692,1833,2628,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00273,,12000,11953,47,129,6119,5.7686925934e-05,0.00199812446166,2201,2026,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00076,,12000,11953,47,139,6119,0.000538051530951,0.00244860769873,2050,2429,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00447,,12000,11953,47,123,6119,0.000780096240561,0.00263820642262,1676,3000,33,12000,True,True,True,True,False,False,False,False,False,False
