candidate_id,success_regression_count_vs_static_flow,quality_delta_mean_vs_static_flow,candidate_rows,frontier_class,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02631,0,-0.0457738718771,89,reject_or_diagnostic,False,False,False,False,False
g554_c02626,0,-0.0338249606953,89,reject_or_diagnostic,False,False,False,False,False
g554_c00858,0,-0.0277473966794,89,reject_or_diagnostic,False,False,False,False,False
g554_c00937,0,-0.0275302156233,89,reject_or_diagnostic,False,False,False,False,False
g554_c02694,0,-0.025018451902,89,reject_or_diagnostic,False,False,False,False,False
g554_c00933,0,-0.0229728599088,89,reject_or_diagnostic,False,False,False,False,False
g554_c02608,0,-0.0218148876949,89,reject_or_diagnostic,False,False,False,False,False
g554_c02636,0,-0.0216350904622,89,reject_or_diagnostic,False,False,False,False,False
g554_c02426,0,-0.0214224325462,89,reject_or_diagnostic,False,False,False,False,False
g554_c00926,0,-0.0206190677531,89,reject_or_diagnostic,False,False,False,False,False
g554_c02706,0,-0.0158404500217,89,reject_or_diagnostic,False,False,False,False,False
g554_c02434,0,-0.0156637640654,89,reject_or_diagnostic,False,False,False,False,False
g554_c00915,0,-0.0155881023907,89,reject_or_diagnostic,False,False,False,False,False
g554_c00928,0,-0.0148393926648,89,reject_or_diagnostic,False,False,False,False,False
g554_c02627,0,-0.0144781480087,89,reject_or_diagnostic,False,False,False,False,False
g554_c02637,0,-0.013457904068,89,reject_or_diagnostic,False,False,False,False,False
g554_c01102,0,-0.012805729997,89,reject_or_diagnostic,False,False,False,False,False
g554_c01101,0,-0.0124286391033,89,reject_or_diagnostic,False,False,False,False,False
g554_c02619,0,-0.0123371922488,89,reject_or_diagnostic,False,False,False,False,False
g554_c01108,0,-0.011989249181,89,reject_or_diagnostic,False,False,False,False,False
g554_c01105,0,-0.0106543866317,89,reject_or_diagnostic,False,False,False,False,False
g554_c01087,0,-0.0105365193718,89,reject_or_diagnostic,False,False,False,False,False
g554_c01088,0,-0.0104733803326,89,reject_or_diagnostic,False,False,False,False,False
g554_c00932,0,-0.0103850382037,89,reject_or_diagnostic,False,False,False,False,False
g554_c00917,0,-0.00975256378955,89,reject_or_diagnostic,False,False,False,False,False
g554_c00938,0,-0.00945095295157,89,reject_or_diagnostic,False,False,False,False,False
g554_c00840,0,-0.00943727512483,89,reject_or_diagnostic,False,False,False,False,False
g554_c02358,0,-0.00942106738236,89,reject_or_diagnostic,False,False,False,False,False
g554_c02452,0,-0.00885034359292,89,reject_or_diagnostic,False,False,False,False,False
g554_c00916,0,-0.00707899887258,89,reject_or_diagnostic,False,False,False,False,False
g554_c02453,0,-0.00662658613843,89,reject_or_diagnostic,False,False,False,False,False
g554_c02602,0,-0.00636079837618,89,reject_or_diagnostic,False,False,False,False,False
g554_c01109,0,-0.00632475742843,89,reject_or_diagnostic,False,False,False,False,False
g554_c00905,0,-0.00628594078315,89,reject_or_diagnostic,False,False,False,False,False
g554_c02382,0,-0.00597075985528,89,reject_or_diagnostic,False,False,False,False,False
g554_c02625,0,-0.0059315235464,89,reject_or_diagnostic,False,False,False,False,False
g554_c02607,0,-0.00592401203989,89,reject_or_diagnostic,False,False,False,False,False
g554_c01164,0,-0.00550392701281,89,reject_or_diagnostic,False,False,False,False,False
g554_c01119,0,-0.00504849788056,89,reject_or_diagnostic,False,False,False,False,False
g554_c02621,0,-0.00425718385,89,reject_or_diagnostic,False,False,False,False,False
