group_type,group_value,threshold,sample_count,near_tie_count,near_tie_rate,neutral_count,mean_best_minus_second_margin,median_best_minus_second_margin,mean_best_minus_neutral_threshold
map,random-32-32-10,0.0025,240,52,0.21666666666666667,64,0.017587332669443463,0.00771907173927,0.038110552281452485
map,random-32-32-10,0.005,240,93,0.3875,64,0.017587332669443463,0.00771907173927,0.038110552281452485
map,random-32-32-10,0.01,240,138,0.575,64,0.017587332669443463,0.00771907173927,0.038110552281452485
map,random-32-32-10,0.02,240,191,0.7958333333333333,64,0.017587332669443463,0.00771907173927,0.038110552281452485
map,random-32-32-10,0.05,240,231,0.9625,64,0.017587332669443463,0.00771907173927,0.038110552281452485
map,random-32-32-20,0.001,240,41,0.17083333333333334,56,0.02290127528704778,0.009697631833750001,0.09154791434162152
map,random-32-32-20,0.0025,240,57,0.2375,56,0.02290127528704778,0.009697631833750001,0.09154791434162152
map,random-32-32-20,0.005,240,82,0.3416666666666667,56,0.02290127528704778,0.009697631833750001,0.09154791434162152
map,random-32-32-20,0.01,240,123,0.5125,56,0.02290127528704778,0.009697631833750001,0.09154791434162152
map,random-32-32-20,0.02,240,171,0.7125,56,0.02290127528704778,0.009697631833750001,0.09154791434162152
map,random-32-32-20,0.05,240,217,0.9041666666666667,56,0.02290127528704778,0.009697631833750001,0.09154791434162152
map,random-64-64-10,0.001,240,63,0.2625,119,0.005715613979837078,0.0027592695898499995,0.009684496062162712
map,random-64-64-10,0.0025,240,114,0.475,119,0.005715613979837078,0.0027592695898499995,0.009684496062162712
map,random-64-64-10,0.005,240,160,0.6666666666666666,119,0.005715613979837078,0.0027592695898499995,0.009684496062162712
map,random-64-64-10,0.01,240,209,0.8708333333333333,119,0.005715613979837078,0.0027592695898499995,0.009684496062162712
map,random-64-64-10,0.02,240,224,0.9333333333333333,119,0.005715613979837078,0.0027592695898499995,0.009684496062162712
map,random-64-64-10,0.05,240,238,0.9916666666666667,119,0.005715613979837078,0.0027592695898499995,0.009684496062162712
map,random-64-64-20,0.001,240,51,0.2125,99,0.005487283360272029,0.003489609878715,0.017897753338800355
map,random-64-64-20,0.0025,240,94,0.39166666666666666,99,0.005487283360272029,0.003489609878715,0.017897753338800355
map,random-64-64-20,0.005,240,153,0.6375,99,0.005487283360272029,0.003489609878715,0.017897753338800355
map,random-64-64-20,0.01,240,200,0.8333333333333334,99,0.005487283360272029,0.003489609878715,0.017897753338800355
map,random-64-64-20,0.02,240,230,0.9583333333333334,99,0.005487283360272029,0.003489609878715,0.017897753338800355
map,random-64-64-20,0.05,240,240,1.0,99,0.005487283360272029,0.003489609878715,0.017897753338800355
map,room-32-32-4,0.001,231,31,0.1341991341991342,35,0.040253340710361955,0.0137114951165,0.15648190436370202
map,room-32-32-4,0.0025,231,47,0.20346320346320346,35,0.040253340710361955,0.0137114951165,0.15648190436370202
map,room-32-32-4,0.005,231,71,0.30735930735930733,35,0.040253340710361955,0.0137114951165,0.15648190436370202
map,room-32-32-4,0.01,231,97,0.4199134199134199,35,0.040253340710361955,0.0137114951165,0.15648190436370202
map,room-32-32-4,0.02,231,138,0.5974025974025974,35,0.040253340710361955,0.0137114951165,0.15648190436370202
map,room-32-32-4,0.05,231,188,0.8138528138528138,35,0.040253340710361955,0.0137114951165,0.15648190436370202
map,room-64-64-8,0.001,240,50,0.20833333333333334,101,0.008568618760995033,0.00477747399256,0.022849587302052596
map,room-64-64-8,0.0025,240,76,0.31666666666666665,101,0.008568618760995033,0.00477747399256,0.022849587302052596
map,room-64-64-8,0.005,240,123,0.5125,101,0.008568618760995033,0.00477747399256,0.022849587302052596
map,room-64-64-8,0.01,240,175,0.7291666666666666,101,0.008568618760995033,0.00477747399256,0.022849587302052596
map,room-64-64-8,0.02,240,208,0.8666666666666667,101,0.008568618760995033,0.00477747399256,0.022849587302052596
map,room-64-64-8,0.05,240,239,0.9958333333333333,101,0.008568618760995033,0.00477747399256,0.022849587302052596
map,warehouse-10-20-10-2-1,0.001,240,40,0.16666666666666666,71,0.019598640777997202,0.007585243026115,0.051350974131996886
map,warehouse-10-20-10-2-1,0.0025,240,62,0.25833333333333336,71,0.019598640777997202,0.007585243026115,0.051350974131996886
map,warehouse-10-20-10-2-1,0.005,240,90,0.375,71,0.019598640777997202,0.007585243026115,0.051350974131996886
